Web link,URN,Linked Education URN,Provision type,Registration date,Registration status,Name,Address 1,Address 2,Town,County,Postcode,Ofsted region,Government Office Region,Local authority,Parliamentary constituency,Sector,Places,Short-break-only children's home,Organisation which owns the provider,Inspection event type,Inspection date,Inspection publication date,Inspection event number,Inspection overall experiences and progress of children and young people,Inspection outcomes in education and related learning activities,Inspection health services,Inspection how well children and young people are helped and protected,Inspection the effectiveness of leaders and managers,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1027077,,Secure Training Centre,11/11/2014,Active,Oakhill Secure Training Centre,Chalgrove Field,Oakhill  ,Milton Keynes,,MK5 6AJ,South East,South East,Milton Keynes,Milton Keynes South,Private,,0,,Full inspection,04/10/2021,19/11/2021,10169460,Inadequate,,,Inadequate,Inadequate,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1027077,,Secure Training Centre,11/11/2014,Active,Oakhill Secure Training Centre,Chalgrove Field,Oakhill  ,Milton Keynes,,MK5 6AJ,South East,South East,Milton Keynes,Milton Keynes South,Private,,0,,Monitoring inspection,30/11/2021,04/01/2022,10213084,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1027077,,Secure Training Centre,11/11/2014,Active,Oakhill Secure Training Centre,Chalgrove Field,Oakhill  ,Milton Keynes,,MK5 6AJ,South East,South East,Milton Keynes,Milton Keynes South,Private,,0,,Monitoring inspection,13/09/2021,11/10/2021,10206611,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1027077,,Secure Training Centre,11/11/2014,Active,Oakhill Secure Training Centre,Chalgrove Field,Oakhill  ,Milton Keynes,,MK5 6AJ,South East,South East,Milton Keynes,Milton Keynes South,Private,,0,,Monitoring inspection,24/05/2021,22/06/2021,10195818,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1027078,,Secure Training Centre,11/11/2014,Active,Rainsbrook Secure Training Centre,Willoughby, ,Rugby,Warwickshire,CV23 8SY,East Midlands,East Midlands,West Northamptonshire,Daventry,Private,,0,,Full inspection,07/06/2021,01/10/2021,10169464,Inadequate,,,Inadequate,Inadequate,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1027158,,Children's home,04/09/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,East of England,Norfolk,South West Norfolk,Private,6.00,0,Unique Care Homes Support Limited,Full inspection,12/10/2021,16/11/2021,10185778,Good,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1027164,,Children's home,10/08/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,North West,Cheshire West and Chester,Eddisbury,Private,6.00,0,Care 4 Children Residential Services Limited,Full inspection,15/02/2022,31/03/2022,10186122,Outstanding,,,Outstanding,Outstanding,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1155757,,Children's home,18/05/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,"North East, Yorkshire and the Humber",North East,Northumberland,Wansbeck,Local Authority,3.00,0,Northumberland County Council,Full inspection,25/01/2022,21/02/2022,10186718,Requires improvement to be good,,,Requires improvement to be good,Requires improvement to be good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1155761,,Children's home,08/10/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,South West,Gloucestershire,Gloucester,Private,3.00,0,Carbrey Care Ltd,Full inspection,12/10/2021,05/11/2021,10186353,Good,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1155775,,Children's home,24/09/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,North West,Manchester,"Manchester, Gorton",Private,1.00,0,Cambian Childcare Limited,Full inspection,25/05/2021,05/07/2021,10187231,Good,,,Good,Requires improvement to be good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1155780,,Children's home,16/11/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,West Midlands,Shropshire,North Shropshire,Private,4.00,0,Cambian Childcare Limited,Full inspection,23/06/2021,09/08/2021,10186293,Outstanding,,,Outstanding,Outstanding,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1156098,,Children's home,06/01/2016,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,North West,Bolton,Bolton South East,Private,3.00,0,Cambian Childcare Limited,Full inspection,15/12/2021,01/02/2022,10187624,Requires improvement to be good,,,Requires improvement to be good,Requires improvement to be good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1159258,,Children's home,14/10/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,North West,Manchester,Blackley and Broughton,Private,4.00,0,Cambian Childcare Limited,Full inspection,05/05/2021,04/06/2021,10185349,Good,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1159264,138384,Boarding School,01/01/2016,Active,Kings London,25 Beckenham Road,Beckenham  ,London,,BR3 4PR,London,London,Bromley,Lewisham West and Penge,Private,352.00,0,United Language Schools Ltd,Full inspection,30/11/2021,21/01/2022,10183312,Good,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1159272,,Children's home,07/10/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Selby and Ainsty,Private,4.00,0,Cambian Childcare Limited,Monitoring inspection,14/06/2021,20/07/2021,10195320,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1159272,,Children's home,07/10/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Selby and Ainsty,Private,4.00,0,Cambian Childcare Limited,Full inspection,06/05/2021,28/06/2021,10185574,Inadequate,,,Inadequate,Inadequate,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1159272,,Children's home,07/10/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Selby and Ainsty,Private,4.00,0,Cambian Childcare Limited,Monitoring inspection,21/07/2021,26/08/2021,10201567,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1159380,141957,Residential Special School,01/05/2015,Active,Parkwood Hall Co-Operative Academy,Parkwood Hall School,Beechenlea Lane  ,Swanley,Kent,BR8 8DR,South East,South East,Kent,Sevenoaks,Academy,18.00,0,Parkwood Hall Co-Operative Academy Trust 09494940,Full inspection,02/02/2022,06/04/2022,10183550,Good,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1159385,,Children's home,14/06/2016,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,West Midlands,Shropshire,North Shropshire,Private,4.00,0,Cambian Childcare Limited,Full inspection,19/10/2021,09/12/2021,10186121,Good,,,Good,Requires improvement to be good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1159395,114640,Boarding School,01/09/2015,Active,Claremont School,Claremont School,Baldslow  ,St. Leonards-On-Sea,East Sussex,TN37 7PW,South East,South East,East Sussex,Hastings and Rye,Private,104.00,0,Claremont School (St Leonards) Limited 02827000,Full inspection,21/09/2021,03/12/2021,10183307,Outstanding,,,Good,Outstanding,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1159397,,Children's home,04/04/2016,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Selby and Ainsty,Private,4.00,0,Cambian Childcare Limited,Full inspection,11/08/2021,14/09/2021,10185655,Requires improvement to be good,,,Requires improvement to be good,Requires improvement to be good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1159397,,Children's home,04/04/2016,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Selby and Ainsty,Private,4.00,0,Cambian Childcare Limited,Interim inspection,18/11/2021,29/12/2021,10212757,Declined effectiveness,,,,,,,,,,,,,,,,,,,,,,,,,
